Pair_ID,Macro_Domain,Difficulty_Tier,National_Statute_Title,Exact_Section_Citation,National_Statutory_Text,Local_Ordinance_Title,Local_Section_Citation,Local_Ordinance_Hypothesis_Text,Local_Legislative_Provenance,Annotator_Decision (Select: Entailment | Contradiction | Neutral),Annotator_Confidence (1-5),Annotator_Notes_Rationale
GT-211,"Public Health, Hospitals & Medical Services",Tier 2: Preemption & Carve-Outs,Republic Act No. 11332 (Mandatory Reporting of Notifiable Diseases and Health Events of Public Health Concern Act),Section 9,"Section 9. Prohibited Acts. — The following shall be prohibited under this Act: (a) Unauthorized disclosure of private and confidential information pertaining to a patient's medical condition or treatment; (b) Non-cooperation of persons and entities that should report and/or respond to notifiable diseases or health events of public health concern; and (c) Non-cooperation of the person or firms categorized as having the notifiable disease, or affected by the health event of public concern.","City Ordinance No. 0715-20, Series of 2020 (The Davao City Epidemiological Disease Surveillance and Health Data Confidentiality Code)",Section 5,"SECTION 5. SECURE EPIDEMIOLOGICAL DATA TRANSMISSION. — To protect public health, promote clinical safety standards, and safeguard patient welfare across all medical facilities in Davao City, the City Health Office Epidemiology and Surveillance Unit shall manage contact tracing data through encrypted digital platforms accessible only to authorized health personnel in compliance with DOH standards. Non-compliance with the health and sanitation directives established herein shall warrant the immediate revocation of the establishment's sanitary permit.","City Ordinance No. 0715-20, Series of 2020 (The Davao City Epidemiological Disease Surveillance and Health Data Confidentiality Code)",,,
GT-212,"Public Health, Hospitals & Medical Services",Tier 2: Preemption & Carve-Outs,Republic Act No. 9211 (Tobacco Regulation Act of 2003),Section 5,"Section 5. Smoking in Public Places. — Smoking shall be absolutely prohibited in the following public places: (a) Centers of youth activity such as playschools, elementary schools, high schools, colleges and universities, youth hostels and recreational facilities for persons under eighteen (18) years old; (b) Elevators and stairwells; (c) Locations in which fire hazards are present, including gas stations and storage areas for flammable materials; (d) Within the buildings and premises of public and private hospitals, medical, dental, and optical clinics, health centers, nursing homes, dispensaries and laboratories; and (e) Public conveyances and public facilities.","City Ordinance No. 0367-18, Series of 2018 (The Comprehensive Davao City Smoke-Free Public Environments and Tobacco Regulation Code)",Section 6,"SECTION 6. DESIGNATED OUTDOOR SMOKING AREAS. — Pursuant to the local health autonomy mandate under Republic Act No. 7160 and in pursuit of the Universal Health Care framework, designated smoking areas in commercial complexes shall be situated strictly in open outdoor spaces, positioned at least ten (10) meters away from building entrances, operable windows, and public access pathways. The City Health Office (CHO) and the City Epidemiological Surveillance Unit shall deploy health sanitary inspectors to ensure strict protocol enforcement.","City Ordinance No. 0367-18, Series of 2018 (The Comprehensive Davao City Smoke-Free Public Environments and Tobacco Regulation Code)",,,
GT-213,"Public Health, Hospitals & Medical Services",Tier 2: Preemption & Carve-Outs,Republic Act No. 11223 (Universal Health Care Act),Section 6,"Section 6. Service Coverage. — (a) Every Filipino shall be granted immediate eligibility and access to preventive, promotive, curative, rehabilitative, and palliative care for medical, dental, mental and emergency health services, delivered either as population-based or individual-based health services. (b) PhilHealth and the Department of Health (DOH), in coordination with local government units (LGUs), shall endeavor to provide a primary health care delivery system that will afford every Filipino access to a licensed primary care provider of choice without financial hardship at the point of service.","City Ordinance No. 0502-21, Series of 2021 (The Davao City Universal Primary Health Care Network and Clinical Integration Code)",Section 5,"SECTION 5. PROMPT EMERGENCY PATIENT STABILIZATION. — Pursuant to the local health autonomy mandate under Republic Act No. 7160 and in pursuit of the Universal Health Care framework, municipal health stations shall stabilize walk-in emergency patients immediately without financial pre-conditions, coordinating transfer to specialized tertiary facilities in accordance with PhilHealth referral protocols. The City Health Office (CHO) and the City Epidemiological Surveillance Unit shall deploy health sanitary inspectors to ensure strict protocol enforcement.","City Ordinance No. 0502-21, Series of 2021 (The Davao City Universal Primary Health Care Network and Clinical Integration Code)",,,
GT-214,"Public Health, Hospitals & Medical Services",Tier 2: Preemption & Carve-Outs,Republic Act No. 11332 (Mandatory Reporting of Notifiable Diseases and Health Events of Public Health Concern Act),Section 9,"Section 9. Prohibited Acts. — The following shall be prohibited under this Act: (a) Unauthorized disclosure of private and confidential information pertaining to a patient's medical condition or treatment; (b) Non-cooperation of persons and entities that should report and/or respond to notifiable diseases or health events of public health concern; and (c) Non-cooperation of the person or firms categorized as having the notifiable disease, or affected by the health event of public concern.","City Ordinance No. 0715-20, Series of 2020 (The Davao City Epidemiological Disease Surveillance and Health Data Confidentiality Code)",Section 5,"SECTION 5. SECURE EPIDEMIOLOGICAL DATA TRANSMISSION. — To protect public health, promote clinical safety standards, and safeguard patient welfare across all medical facilities in Davao City, the City Health Office Epidemiology and Surveillance Unit shall manage contact tracing data through encrypted digital platforms accessible only to authorized health personnel in compliance with DOH standards. Non-compliance with the health and sanitation directives established herein shall warrant the immediate revocation of the establishment's sanitary permit.","City Ordinance No. 0715-20, Series of 2020 (The Davao City Epidemiological Disease Surveillance and Health Data Confidentiality Code)",,,
GT-215,"Public Health, Hospitals & Medical Services",Tier 2: Preemption & Carve-Outs,Republic Act No. 9211 (Tobacco Regulation Act of 2003),Section 5,"Section 5. Smoking in Public Places. — Smoking shall be absolutely prohibited in the following public places: (a) Centers of youth activity such as playschools, elementary schools, high schools, colleges and universities, youth hostels and recreational facilities for persons under eighteen (18) years old; (b) Elevators and stairwells; (c) Locations in which fire hazards are present, including gas stations and storage areas for flammable materials; (d) Within the buildings and premises of public and private hospitals, medical, dental, and optical clinics, health centers, nursing homes, dispensaries and laboratories; and (e) Public conveyances and public facilities.","City Ordinance No. 0367-18, Series of 2018 (The Comprehensive Davao City Smoke-Free Public Environments and Tobacco Regulation Code)",Section 6,"SECTION 6. DESIGNATED OUTDOOR SMOKING AREAS. — Pursuant to the local health autonomy mandate under Republic Act No. 7160 and in pursuit of the Universal Health Care framework, designated smoking areas in commercial complexes shall be situated strictly in open outdoor spaces, positioned at least ten (10) meters away from building entrances, operable windows, and public access pathways. The City Health Office (CHO) and the City Epidemiological Surveillance Unit shall deploy health sanitary inspectors to ensure strict protocol enforcement.","City Ordinance No. 0367-18, Series of 2018 (The Comprehensive Davao City Smoke-Free Public Environments and Tobacco Regulation Code)",,,
GT-216,"Public Health, Hospitals & Medical Services",Tier 2: Preemption & Carve-Outs,Republic Act No. 11223 (Universal Health Care Act),Section 6,"Section 6. Service Coverage. — (a) Every Filipino shall be granted immediate eligibility and access to preventive, promotive, curative, rehabilitative, and palliative care for medical, dental, mental and emergency health services, delivered either as population-based or individual-based health services. (b) PhilHealth and the Department of Health (DOH), in coordination with local government units (LGUs), shall endeavor to provide a primary health care delivery system that will afford every Filipino access to a licensed primary care provider of choice without financial hardship at the point of service.","City Ordinance No. 0502-21, Series of 2021 (The Davao City Universal Primary Health Care Network and Clinical Integration Code)",Section 5,"SECTION 5. PROMPT EMERGENCY PATIENT STABILIZATION. — Pursuant to the local health autonomy mandate under Republic Act No. 7160 and in pursuit of the Universal Health Care framework, municipal health stations shall stabilize walk-in emergency patients immediately without financial pre-conditions, coordinating transfer to specialized tertiary facilities in accordance with PhilHealth referral protocols. The City Health Office (CHO) and the City Epidemiological Surveillance Unit shall deploy health sanitary inspectors to ensure strict protocol enforcement.","City Ordinance No. 0502-21, Series of 2021 (The Davao City Universal Primary Health Care Network and Clinical Integration Code)",,,
GT-217,"Public Health, Hospitals & Medical Services",Tier 2: Preemption & Carve-Outs,Republic Act No. 11223 (Universal Health Care Act),Section 6,"Section 6. Service Coverage. — (a) Every Filipino shall be granted immediate eligibility and access to preventive, promotive, curative, rehabilitative, and palliative care for medical, dental, mental and emergency health services, delivered either as population-based or individual-based health services. (b) PhilHealth and the Department of Health (DOH), in coordination with local government units (LGUs), shall endeavor to provide a primary health care delivery system that will afford every Filipino access to a licensed primary care provider of choice without financial hardship at the point of service.","City Ordinance No. 0325-18, Series of 2018 (The Davao City Public Health Center Dental Equipment Autoclave Sterilization Standard)",Section 5,"SECTION 5. INFECTIOUS WASTE BIN SPECIFICATIONS. — In the exercise of municipal police power to preserve public hygiene and prevent the transmission of communicable illnesses, clinical sharps disposal containers utilized in municipal health stations shall be constructed of rigid, puncture-proof red polypropylene bearing biohazard insignias. The Davao City Anti-Smoking Task Force, in coordination with the Davao City Police Office, shall conduct random inspections of regulated public spaces.","City Ordinance No. 0325-18, Series of 2018 (The Davao City Public Health Center Dental Equipment Autoclave Sterilization Standard)",,,
GT-218,"Public Health, Hospitals & Medical Services",Tier 2: Preemption & Carve-Outs,Republic Act No. 11332 (Mandatory Reporting of Notifiable Diseases and Health Events of Public Health Concern Act),Section 9,"Section 9. Prohibited Acts. — The following shall be prohibited under this Act: (a) Unauthorized disclosure of private and confidential information pertaining to a patient's medical condition or treatment; (b) Non-cooperation of persons and entities that should report and/or respond to notifiable diseases or health events of public health concern; and (c) Non-cooperation of the person or firms categorized as having the notifiable disease, or affected by the health event of public concern.","City Ordinance No. 0210-17, Series of 2017 (The Davao City Health Center Clinical Furniture Surface Sanitization Standard)",Section 3,"SECTION 3. VACCINE COLD-CHAIN TEMPERATURE LOGS. — To protect public health, promote clinical safety standards, and safeguard patient welfare across all medical facilities in Davao City, clinic nurses shall verify and record digital temperatures of vaccine storage refrigerators twice daily to ensure uninterrupted cold-chain preservation. Non-compliance with the health and sanitation directives established herein shall warrant the immediate revocation of the establishment's sanitary permit.","City Ordinance No. 0210-17, Series of 2017 (The Davao City Health Center Clinical Furniture Surface Sanitization Standard)",,,
GT-219,"Public Health, Hospitals & Medical Services",Tier 2: Preemption & Carve-Outs,Republic Act No. 9211 (Tobacco Regulation Act of 2003),Section 5,"Section 5. Smoking in Public Places. — Smoking shall be absolutely prohibited in the following public places: (a) Centers of youth activity such as playschools, elementary schools, high schools, colleges and universities, youth hostels and recreational facilities for persons under eighteen (18) years old; (b) Elevators and stairwells; (c) Locations in which fire hazards are present, including gas stations and storage areas for flammable materials; (d) Within the buildings and premises of public and private hospitals, medical, dental, and optical clinics, health centers, nursing homes, dispensaries and laboratories; and (e) Public conveyances and public facilities.","City Ordinance No. 0184-16, Series of 2016 (The Davao City Public Park Masonry Walkway Anti-Algae Coating Specification Standard)",Section 3,"SECTION 3. ROTATIONAL LAWN IRRIGATION SCHEDULE. — To protect public health, promote clinical safety standards, and safeguard patient welfare across all medical facilities in Davao City, automated sprinkler systems installed within urban plazas shall operate exclusively during early morning hours between four o'clock and six o'clock to conserve municipal treated water. Non-compliance with the health and sanitation directives established herein shall warrant the immediate revocation of the establishment's sanitary permit.","City Ordinance No. 0184-16, Series of 2016 (The Davao City Public Park Masonry Walkway Anti-Algae Coating Specification Standard)",,,
GT-220,"Public Health, Hospitals & Medical Services",Tier 2: Preemption & Carve-Outs,Republic Act No. 11223 (Universal Health Care Act),Section 6,"Section 6. Service Coverage. — (a) Every Filipino shall be granted immediate eligibility and access to preventive, promotive, curative, rehabilitative, and palliative care for medical, dental, mental and emergency health services, delivered either as population-based or individual-based health services. (b) PhilHealth and the Department of Health (DOH), in coordination with local government units (LGUs), shall endeavor to provide a primary health care delivery system that will afford every Filipino access to a licensed primary care provider of choice without financial hardship at the point of service.","City Ordinance No. 0325-18, Series of 2018 (The Davao City Public Health Center Dental Equipment Autoclave Sterilization Standard)",Section 5,"SECTION 5. INFECTIOUS WASTE BIN SPECIFICATIONS. — In the exercise of municipal police power to preserve public hygiene and prevent the transmission of communicable illnesses, clinical sharps disposal containers utilized in municipal health stations shall be constructed of rigid, puncture-proof red polypropylene bearing biohazard insignias. The Davao City Anti-Smoking Task Force, in coordination with the Davao City Police Office, shall conduct random inspections of regulated public spaces.","City Ordinance No. 0325-18, Series of 2018 (The Davao City Public Health Center Dental Equipment Autoclave Sterilization Standard)",,,
