Pair_ID,Macro_Domain,Difficulty_Tier,National_Statute_Title,Exact_Section_Citation,National_Statutory_Text,Local_Ordinance_Title,Local_Section_Citation,Local_Ordinance_Hypothesis_Text,Local_Legislative_Provenance,Annotator_Decision (Select: Entailment | Contradiction | Neutral),Annotator_Confidence (1-5),Annotator_Notes_Rationale
GT-071,Education & Academic Institutions,Tier 2: Preemption & Carve-Outs,Republic Act No. 9165 (Comprehensive Dangerous Drugs Act of 2002),Section 36(c),"Section 36(c). Authorized Drug Testing for Students. — Authorized drug testing shall be done by any government forensic laboratories or by any of the drug testing laboratories accredited and monitored by the Department of Health (DOH) to safeguard the quality of test results. Students of secondary and tertiary schools shall, pursuant to the related rules and regulations as contained in the school's student handbook and with notice to the parents, undergo a random drug testing: Provided, That all drug testing expenses whether in public or private schools under this Section will be borne by the government.","City Ordinance No. 0521-17, Series of 2017 (The Davao City Student Health Protection and Drug-Free Campus Intervention Code)",Section 6,"SECTION 6. CONFIDENTIALITY OF REHABILITATION RECORDS. — Pursuant to the constitutional priority accorded to education and the municipal youth development mandate of Davao City, positive drug screening results obtained during school random testing protocols shall remain strictly confidential, treated as medical records to guide therapeutic intervention without entry into police records. The City Education Development Division and the Local School Board shall monitor institutional compliance and submit quarterly reports to the Sangguniang Panlungsod.","City Ordinance No. 0521-17, Series of 2017 (The Davao City Student Health Protection and Drug-Free Campus Intervention Code)",,,
GT-072,Education & Academic Institutions,Tier 2: Preemption & Carve-Outs,Republic Act No. 11314 (Student Fare Discount Act),Section 5,"Section 5. Student Fare Discount Privilege. — A student under this Act shall be entitled to a grant for twenty percent (20%) discount on the regular domestic transportation utility fares for land, rail, sea and air, upon presentation of their duly issued school identification cards or valid enrollment documents. The discount shall be granted across all public transportation utilities operating within Philippine territory throughout the entire calendar year.","City Ordinance No. 0772-22, Series of 2022 (The Davao City Student Transportation Fare Discount Privilege and Mobility Accessibility Code)",Section 5,"SECTION 5. ENFORCEMENT ACROSS ALL CALENDAR DAYS. — In coordination with the Department of Education and the Commission on Higher Education under local ordinance powers, the City Transport and Traffic Management Office (CTTMO) shall enforce student fare discounts continuously across all days of the year, including weekends, semestral breaks, and national holidays. The City Health Office and the City Social Welfare and Development Office (CSWDO) shall deploy inspection officers to ensure student protection standards.","City Ordinance No. 0772-22, Series of 2022 (The Davao City Student Transportation Fare Discount Privilege and Mobility Accessibility Code)",,,
GT-073,Education & Academic Institutions,Tier 2: Preemption & Carve-Outs,Republic Act No. 10931 (Universal Access to Quality Tertiary Education Act),Section 4,"Section 4. Free Higher Education in SUCs and LUCs. — All Filipino students who are enrolled in courses leading to a bachelor's degree or comparable undergraduate degree in State Universities and Colleges (SUCs) and Local Universities and Colleges (LUCs) shall be exempt from paying tuition and other school fees for units enrolled in: Provided, That they pass the entrance examination and other admission and retention requirements of the SUCs and LUCs. SUCs and LUCs shall not collect mandatory tuition or administrative fees from qualified undergraduate students, and the required funding shall be subsidized by the national government through annual appropriations.","City Ordinance No. 0182-20, Series of 2020 (The City College of Davao Higher Education Access and Tuition Subsidy Code)",Section 5,"SECTION 5. ENROLLMENT GUIDELINES. — To safeguard student welfare and promote accessible quality education across all public and private academic institutions, the Board of Trustees of the City College of Davao shall enforce admission standards consistent with Commission on Higher Education (CHED) policies, honoring statutory free tuition privileges for all qualified students. Academic institutions or transport operators failing to adhere to these local educational standards shall be subject to administrative fines under the Davao City Revenue Code.","City Ordinance No. 0182-20, Series of 2020 (The City College of Davao Higher Education Access and Tuition Subsidy Code)",,,
GT-074,Education & Academic Institutions,Tier 2: Preemption & Carve-Outs,Republic Act No. 9165 (Comprehensive Dangerous Drugs Act of 2002),Section 36(c),"Section 36(c). Authorized Drug Testing for Students. — Authorized drug testing shall be done by any government forensic laboratories or by any of the drug testing laboratories accredited and monitored by the Department of Health (DOH) to safeguard the quality of test results. Students of secondary and tertiary schools shall, pursuant to the related rules and regulations as contained in the school's student handbook and with notice to the parents, undergo a random drug testing: Provided, That all drug testing expenses whether in public or private schools under this Section will be borne by the government.","City Ordinance No. 0521-17, Series of 2017 (The Davao City Student Health Protection and Drug-Free Campus Intervention Code)",Section 6,"SECTION 6. CONFIDENTIALITY OF REHABILITATION RECORDS. — Pursuant to the constitutional priority accorded to education and the municipal youth development mandate of Davao City, positive drug screening results obtained during school random testing protocols shall remain strictly confidential, treated as medical records to guide therapeutic intervention without entry into police records. The City Education Development Division and the Local School Board shall monitor institutional compliance and submit quarterly reports to the Sangguniang Panlungsod.","City Ordinance No. 0521-17, Series of 2017 (The Davao City Student Health Protection and Drug-Free Campus Intervention Code)",,,
GT-075,Education & Academic Institutions,Tier 2: Preemption & Carve-Outs,Republic Act No. 11314 (Student Fare Discount Act),Section 5,"Section 5. Student Fare Discount Privilege. — A student under this Act shall be entitled to a grant for twenty percent (20%) discount on the regular domestic transportation utility fares for land, rail, sea and air, upon presentation of their duly issued school identification cards or valid enrollment documents. The discount shall be granted across all public transportation utilities operating within Philippine territory throughout the entire calendar year.","City Ordinance No. 0772-22, Series of 2022 (The Davao City Student Transportation Fare Discount Privilege and Mobility Accessibility Code)",Section 5,"SECTION 5. ENFORCEMENT ACROSS ALL CALENDAR DAYS. — In coordination with the Department of Education and the Commission on Higher Education under local ordinance powers, the City Transport and Traffic Management Office (CTTMO) shall enforce student fare discounts continuously across all days of the year, including weekends, semestral breaks, and national holidays. The City Health Office and the City Social Welfare and Development Office (CSWDO) shall deploy inspection officers to ensure student protection standards.","City Ordinance No. 0772-22, Series of 2022 (The Davao City Student Transportation Fare Discount Privilege and Mobility Accessibility Code)",,,
GT-076,Education & Academic Institutions,Tier 2: Preemption & Carve-Outs,Republic Act No. 10931 (Universal Access to Quality Tertiary Education Act),Section 4,"Section 4. Free Higher Education in SUCs and LUCs. — All Filipino students who are enrolled in courses leading to a bachelor's degree or comparable undergraduate degree in State Universities and Colleges (SUCs) and Local Universities and Colleges (LUCs) shall be exempt from paying tuition and other school fees for units enrolled in: Provided, That they pass the entrance examination and other admission and retention requirements of the SUCs and LUCs. SUCs and LUCs shall not collect mandatory tuition or administrative fees from qualified undergraduate students, and the required funding shall be subsidized by the national government through annual appropriations.","City Ordinance No. 0182-20, Series of 2020 (The City College of Davao Higher Education Access and Tuition Subsidy Code)",Section 5,"SECTION 5. ENROLLMENT GUIDELINES. — To safeguard student welfare and promote accessible quality education across all public and private academic institutions, the Board of Trustees of the City College of Davao shall enforce admission standards consistent with Commission on Higher Education (CHED) policies, honoring statutory free tuition privileges for all qualified students. Academic institutions or transport operators failing to adhere to these local educational standards shall be subject to administrative fines under the Davao City Revenue Code.","City Ordinance No. 0182-20, Series of 2020 (The City College of Davao Higher Education Access and Tuition Subsidy Code)",,,
GT-077,Education & Academic Institutions,Tier 2: Preemption & Carve-Outs,Republic Act No. 10931 (Universal Access to Quality Tertiary Education Act),Section 4,"Section 4. Free Higher Education in SUCs and LUCs. — All Filipino students who are enrolled in courses leading to a bachelor's degree or comparable undergraduate degree in State Universities and Colleges (SUCs) and Local Universities and Colleges (LUCs) shall be exempt from paying tuition and other school fees for units enrolled in: Provided, That they pass the entrance examination and other admission and retention requirements of the SUCs and LUCs. SUCs and LUCs shall not collect mandatory tuition or administrative fees from qualified undergraduate students, and the required funding shall be subsidized by the national government through annual appropriations.","City Ordinance No. 0290-19, Series of 2019 (The Davao City Public Academic Library Rare Book Archiving and Preservation Standard)",Section 6,"SECTION 6. SCHOOL BUS PARKING ZONES. — To safeguard student welfare and promote accessible quality education across all public and private academic institutions, school transport buses serving public secondary schools shall park exclusively inside designated school campus parking loops during morning student drop-off hours. Academic institutions or transport operators failing to adhere to these local educational standards shall be subject to administrative fines under the Davao City Revenue Code.","City Ordinance No. 0290-19, Series of 2019 (The Davao City Public Academic Library Rare Book Archiving and Preservation Standard)",,,
GT-078,Education & Academic Institutions,Tier 2: Preemption & Carve-Outs,Republic Act No. 9165 (Comprehensive Dangerous Drugs Act of 2002),Section 36(c),"Section 36(c). Authorized Drug Testing for Students. — Authorized drug testing shall be done by any government forensic laboratories or by any of the drug testing laboratories accredited and monitored by the Department of Health (DOH) to safeguard the quality of test results. Students of secondary and tertiary schools shall, pursuant to the related rules and regulations as contained in the school's student handbook and with notice to the parents, undergo a random drug testing: Provided, That all drug testing expenses whether in public or private schools under this Section will be borne by the government.","City Ordinance No. 0177-16, Series of 2016 (The Davao City Public Classroom Educational Furniture Maintenance and Sanitation Standard)",Section 5,"SECTION 5. CROSSING GUARD HIGH-VISIBILITY VESTS. — In coordination with the Department of Education and the Commission on Higher Education under local ordinance powers, municipal traffic marshals assigned to school pedestrian crosswalks shall wear high-visibility reflective safety vests during peak student arrival hours. The City Health Office and the City Social Welfare and Development Office (CSWDO) shall deploy inspection officers to ensure student protection standards.","City Ordinance No. 0177-16, Series of 2016 (The Davao City Public Classroom Educational Furniture Maintenance and Sanitation Standard)",,,
GT-079,Education & Academic Institutions,Tier 2: Preemption & Carve-Outs,Republic Act No. 11314 (Student Fare Discount Act),Section 5,"Section 5. Student Fare Discount Privilege. — A student under this Act shall be entitled to a grant for twenty percent (20%) discount on the regular domestic transportation utility fares for land, rail, sea and air, upon presentation of their duly issued school identification cards or valid enrollment documents. The discount shall be granted across all public transportation utilities operating within Philippine territory throughout the entire calendar year.","City Ordinance No. 0318-18, Series of 2018 (The Davao City Public Transport Passenger Waiting Shed and Terminal Canopy Standard)",Section 6,"SECTION 6. LOST PROPERTY CUSTODY. — To safeguard student welfare and promote accessible quality education across all public and private academic institutions, transport terminal dispatchers who recover unattended baggage inside public passenger waiting lounges shall log the items within the terminal lost-and-found ledger. Academic institutions or transport operators failing to adhere to these local educational standards shall be subject to administrative fines under the Davao City Revenue Code.","City Ordinance No. 0318-18, Series of 2018 (The Davao City Public Transport Passenger Waiting Shed and Terminal Canopy Standard)",,,
GT-080,Education & Academic Institutions,Tier 2: Preemption & Carve-Outs,Republic Act No. 10931 (Universal Access to Quality Tertiary Education Act),Section 4,"Section 4. Free Higher Education in SUCs and LUCs. — All Filipino students who are enrolled in courses leading to a bachelor's degree or comparable undergraduate degree in State Universities and Colleges (SUCs) and Local Universities and Colleges (LUCs) shall be exempt from paying tuition and other school fees for units enrolled in: Provided, That they pass the entrance examination and other admission and retention requirements of the SUCs and LUCs. SUCs and LUCs shall not collect mandatory tuition or administrative fees from qualified undergraduate students, and the required funding shall be subsidized by the national government through annual appropriations.","City Ordinance No. 0290-19, Series of 2019 (The Davao City Public Academic Library Rare Book Archiving and Preservation Standard)",Section 6,"SECTION 6. SCHOOL BUS PARKING ZONES. — To safeguard student welfare and promote accessible quality education across all public and private academic institutions, school transport buses serving public secondary schools shall park exclusively inside designated school campus parking loops during morning student drop-off hours. Academic institutions or transport operators failing to adhere to these local educational standards shall be subject to administrative fines under the Davao City Revenue Code.","City Ordinance No. 0290-19, Series of 2019 (The Davao City Public Academic Library Rare Book Archiving and Preservation Standard)",,,
