Pair_ID,Macro_Domain,Difficulty_Tier,National_Statute_Title,Exact_Section_Citation,National_Statutory_Text,Local_Ordinance_Title,Local_Section_Citation,Local_Ordinance_Hypothesis_Text,Local_Legislative_Provenance,Annotator_Decision (Select: Entailment | Contradiction | Neutral),Annotator_Confidence (1-5),Annotator_Notes_Rationale
GT-141,Local Government & Territorial Boundaries,Tier 3: Latent & Paraphrastic,Republic Act No. 7160 (The Local Government Code of 1991),Section 458(a)(1)(iii),"Section 458(a)(1)(iii). Curfew and Public Order Powers. — (a) The sangguniang panlungsod, as the legislative body of the city, shall enact ordinances, approve resolutions and appropriate funds for the general welfare of the city and its inhabitants, and in the proper exercise of the corporate powers of the city, shall: (1) Approve ordinances and pass resolutions to protect the general welfare of the city and its inhabitants, and in pursuit thereof shall: (iii) Enact curfew ordinances regulating the movement and presence of minors during late-night hours, and adopt appropriate preventive measures to protect youth from juvenile delinquency.","City Ordinance No. 0405-18, Series of 2018 (The Davao City Municipal Streetlighting and Public Highway Illumination Specification Code)",Section 7,"SECTION 7. MUNICIPAL LIGHTING MAINTENANCE. — To strengthen community protection mechanisms and ensure the wholesome social development of minors within all residential barangays, the City Engineering Office shall replace non-functional street lamps with high-efficiency luminaires across designated public corridors to ensure nocturnal pedestrian visibility and road safety. The City Legal Office shall oversee the lawful execution of these protective measures to prevent any infringement of recognized statutory rights.","City Ordinance No. 0405-18, Series of 2018 (The Davao City Municipal Streetlighting and Public Highway Illumination Specification Code)",,,
GT-142,Local Government & Territorial Boundaries,Tier 3: Latent & Paraphrastic,Republic Act No. 9344 (Juvenile Justice and Welfare Act of 2006),Section 6,"Section 6. Minimum Age of Criminal Responsibility. — A child fifteen (15) years of age or under at the time of the commission of the offense shall be exempt from criminal liability. However, the child shall be subjected to an intervention program pursuant to Section 20 of this Act. A child above fifteen (15) years but below eighteen (18) years of age shall likewise be exempt from criminal liability and be subjected to an intervention program, unless he/she has acted with discernment, in which case, such child shall be subjected to the appropriate proceedings in accordance with this Act.","City Ordinance No. 0244-17, Series of 2017 (The Davao City Municipal Public Building Emergency Evacuation Route and Stairwell Standard)",Section 6,"SECTION 6. EARLY CHILDHOOD FIRE ESCAPE STANDARDS. — Pursuant to the police powers and general welfare authority of the Sangguniang Panlungsod to preserve community peace and good order, municipal early childhood education centers shall maintain unobstructed external exit pathways leading directly to outdoor assembly courts during emergency fire drills. The City Social Welfare and Development Office, together with local community welfare marshals, shall ensure compassionate enforcement and conduct immediate family assessments.","City Ordinance No. 0244-17, Series of 2017 (The Davao City Municipal Public Building Emergency Evacuation Route and Stairwell Standard)",,,
GT-143,Local Government & Territorial Boundaries,Tier 3: Latent & Paraphrastic,Republic Act No. 7160 (The Local Government Code of 1991),Section 152(c),"Section 152(c). Barangay Clearance. — No city or municipality may issue any license or permit for any business or activity unless a clearance is first obtained from the barangay where such business or activity is located or conducted. For such clearance, the sangguniang barangay may impose a reasonable fee. The application for clearance shall be acted upon within seven (7) working days from the filing thereof. In the event that the clearance is not issued within the said period, the city or municipality may issue the said license or permit.","City Ordinance No. 0188-16, Series of 2016 (The Davao City Barangay Hall Public Information Bulletin Board Standardization Standard)",Section 6,"SECTION 6. BULLETIN BOARD CONSTRUCTION. — In the exercise of sovereign municipal regulatory authority over public spaces and child welfare across the City of Davao, public notification bulletin boards positioned outside barangay administrative halls shall feature tempered glass sliding panels to protect public announcements from weather exposure. Component barangay authorities and local community watch groups are hereby instructed to provide regular compliance monitoring reports to the City Mayor.","City Ordinance No. 0188-16, Series of 2016 (The Davao City Barangay Hall Public Information Bulletin Board Standardization Standard)",,,
GT-144,Local Government & Territorial Boundaries,Tier 3: Latent & Paraphrastic,Republic Act No. 7160 (The Local Government Code of 1991),Section 458(a)(1)(iii),"Section 458(a)(1)(iii). Curfew and Public Order Powers. — (a) The sangguniang panlungsod, as the legislative body of the city, shall enact ordinances, approve resolutions and appropriate funds for the general welfare of the city and its inhabitants, and in the proper exercise of the corporate powers of the city, shall: (1) Approve ordinances and pass resolutions to protect the general welfare of the city and its inhabitants, and in pursuit thereof shall: (iii) Enact curfew ordinances regulating the movement and presence of minors during late-night hours, and adopt appropriate preventive measures to protect youth from juvenile delinquency.","City Ordinance No. 0405-18, Series of 2018 (The Davao City Municipal Streetlighting and Public Highway Illumination Specification Code)",Section 7,"SECTION 7. MUNICIPAL LIGHTING MAINTENANCE. — To strengthen community protection mechanisms and ensure the wholesome social development of minors within all residential barangays, the City Engineering Office shall replace non-functional street lamps with high-efficiency luminaires across designated public corridors to ensure nocturnal pedestrian visibility and road safety. The City Legal Office shall oversee the lawful execution of these protective measures to prevent any infringement of recognized statutory rights.","City Ordinance No. 0405-18, Series of 2018 (The Davao City Municipal Streetlighting and Public Highway Illumination Specification Code)",,,
GT-145,Local Government & Territorial Boundaries,Tier 3: Latent & Paraphrastic,Republic Act No. 9344 (Juvenile Justice and Welfare Act of 2006),Section 6,"Section 6. Minimum Age of Criminal Responsibility. — A child fifteen (15) years of age or under at the time of the commission of the offense shall be exempt from criminal liability. However, the child shall be subjected to an intervention program pursuant to Section 20 of this Act. A child above fifteen (15) years but below eighteen (18) years of age shall likewise be exempt from criminal liability and be subjected to an intervention program, unless he/she has acted with discernment, in which case, such child shall be subjected to the appropriate proceedings in accordance with this Act.","City Ordinance No. 0244-17, Series of 2017 (The Davao City Municipal Public Building Emergency Evacuation Route and Stairwell Standard)",Section 6,"SECTION 6. EARLY CHILDHOOD FIRE ESCAPE STANDARDS. — Pursuant to the police powers and general welfare authority of the Sangguniang Panlungsod to preserve community peace and good order, municipal early childhood education centers shall maintain unobstructed external exit pathways leading directly to outdoor assembly courts during emergency fire drills. The City Social Welfare and Development Office, together with local community welfare marshals, shall ensure compassionate enforcement and conduct immediate family assessments.","City Ordinance No. 0244-17, Series of 2017 (The Davao City Municipal Public Building Emergency Evacuation Route and Stairwell Standard)",,,
GT-146,Public Utilities & Telecom Franchises,Tier 1: Surface & Quantitative,Republic Act No. 4136 (Land Transportation and Traffic Code),Section 35,"Section 35. Restriction as to speed. — (a) Any person driving a motor vehicle on a highway shall drive the same at a careful and prudent speed, not greater nor less than is reasonable and proper. (b) Subject to the provisions of the preceding paragraph, the rate of speed of any motor vehicle shall not exceed the following: on open country roads with no blind corners, eighty (80) km. per hour for passenger cars and motorcycles, and fifty (50) km. per hour for motor trucks and buses; on through streets or boulevards, forty (40) km. per hour; on city and municipal streets with light traffic, thirty (30) km. per hour; and through crowded streets, twenty (20) km. per hour. (c) The rates of speed herein prescribed shall not apply to emergency medical vehicles, fire department vehicles, or law enforcement officers pursuing traffic violators.","Proposed City Ordinance No. 2024-055, Series of 2024 (The Davao City Suburban Expressway Dynamic Corridor Flow and Transit Pace Regulation Measure)",Section 5,"SECTION 5. REVISED SPEED LIMITS ON NATIONAL ARTERIAL HIGHWAYS. — Pursuant to the urban mobility and traffic management authority of the City Government of Davao under the Local Government Code, the maximum allowable vehicular speed for private passenger cars traversing the national highway stretches within Davao City is hereby established at one hundred twenty (120) kilometers per hour. The City Transport and Traffic Management Office (CTTMO) shall deploy traffic enforcers and install appropriate directional signages to ensure full operational compliance.","Proposed City Ordinance No. 2024-055, Series of 2024 (The Davao City Suburban Expressway Dynamic Corridor Flow and Transit Pace Regulation Measure)",,,
GT-147,Public Utilities & Telecom Franchises,Tier 1: Surface & Quantitative,Republic Act No. 7925 (Public Telecommunications Policy Act of 1995),Section 4,"Section 4. Declaration of National Policy. — Telecommunications is essential to the economic development, integrity and security of the Philippines, and as such shall be developed and administered as to safeguard, enrich and strengthen the economic, cultural, social and political fabric of the Philippines. A fundamental objective of government is to develop and maintain a viable, efficient, reliable and universally accessible telecommunications infrastructure. The expansion of telecommunications services shall be undertaken primarily by the private sector, and the entry and operation of telecommunications public utilities shall be regulated and supervised by the National Telecommunications Commission (NTC) as an independent administrative body pursuant to national policy.","Proposed City Ordinance No. 2024-131, Series of 2024 (The Davao City Local Digital Resiliency and Municipal Internet Traffic Management Measure)",Section 4,"SECTION 4. COMPULSORY MUNICIPAL TELECOM FRANCHISING. — To protect commuter safety, reduce vehicular congestion, and ensure equitable access to essential infrastructure networks, no national telecommunications carrier shall construct, operate, or maintain cellular base stations or fiber transmission grids within Davao City without first securing a local legislative franchise enacted by the Sangguniang Panlungsod. Transport operators and utility service providers failing to observe these municipal regulations shall face immediate citation and administrative impoundment.","Proposed City Ordinance No. 2024-131, Series of 2024 (The Davao City Local Digital Resiliency and Municipal Internet Traffic Management Measure)",,,
GT-148,Public Utilities & Telecom Franchises,Tier 1: Surface & Quantitative,Republic Act No. 9136 (Electric Power Industry Reform Act of 2001),Section 43(u),"Section 43(u). Functions of the Energy Regulatory Commission (ERC). — The ERC shall have the original and exclusive jurisdiction over all cases contesting rates, fees, fines and penalties imposed in the exercise of its powers, functions and responsibilities, and over all cases involving disputes between and among participants or players in the energy sector. All actions shall be within the exclusive jurisdiction of the Commission, and local government units shall not modify, alter, or superimpose additional local retail tariff rates upon distribution utilities licensed by the Commission.","Proposed City Ordinance No. 2024-098, Series of 2024 (The Davao City Distribution Network Reliability and Grid Improvement Assessment Measure)",Section 4,"SECTION 4. LOCAL ELECTRIC DISTRIBUTION TARIFF CAPS. — In the exercise of municipal powers to regulate the use of public thoroughfares and utility corridors across Davao City, the Sangguniang Panlungsod shall review and approve all retail power distribution tariff adjustments proposed by local electric utilities, capping distribution wheeling charges at ten percent (10%) above operational generation costs. The City Engineers Office, in coordination with the Energy Regulatory Commission regional desk, shall conduct periodic technical inspections of utility installations.","Proposed City Ordinance No. 2024-098, Series of 2024 (The Davao City Distribution Network Reliability and Grid Improvement Assessment Measure)",,,
GT-149,Public Utilities & Telecom Franchises,Tier 1: Surface & Quantitative,Republic Act No. 4136 (Land Transportation and Traffic Code),Section 35,"Section 35. Restriction as to speed. — (a) Any person driving a motor vehicle on a highway shall drive the same at a careful and prudent speed, not greater nor less than is reasonable and proper. (b) Subject to the provisions of the preceding paragraph, the rate of speed of any motor vehicle shall not exceed the following: on open country roads with no blind corners, eighty (80) km. per hour for passenger cars and motorcycles, and fifty (50) km. per hour for motor trucks and buses; on through streets or boulevards, forty (40) km. per hour; on city and municipal streets with light traffic, thirty (30) km. per hour; and through crowded streets, twenty (20) km. per hour. (c) The rates of speed herein prescribed shall not apply to emergency medical vehicles, fire department vehicles, or law enforcement officers pursuing traffic violators.","Proposed City Ordinance No. 2024-055, Series of 2024 (The Davao City Suburban Expressway Dynamic Corridor Flow and Transit Pace Regulation Measure)",Section 5,"SECTION 5. REVISED SPEED LIMITS ON NATIONAL ARTERIAL HIGHWAYS. — Pursuant to the urban mobility and traffic management authority of the City Government of Davao under the Local Government Code, the maximum allowable vehicular speed for private passenger cars traversing the national highway stretches within Davao City is hereby established at one hundred twenty (120) kilometers per hour. The City Transport and Traffic Management Office (CTTMO) shall deploy traffic enforcers and install appropriate directional signages to ensure full operational compliance.","Proposed City Ordinance No. 2024-055, Series of 2024 (The Davao City Suburban Expressway Dynamic Corridor Flow and Transit Pace Regulation Measure)",,,
GT-150,Public Utilities & Telecom Franchises,Tier 1: Surface & Quantitative,Republic Act No. 4136 (Land Transportation and Traffic Code),Section 35,"Section 35. Restriction as to speed. — (a) Any person driving a motor vehicle on a highway shall drive the same at a careful and prudent speed, not greater nor less than is reasonable and proper. (b) Subject to the provisions of the preceding paragraph, the rate of speed of any motor vehicle shall not exceed the following: on open country roads with no blind corners, eighty (80) km. per hour for passenger cars and motorcycles, and fifty (50) km. per hour for motor trucks and buses; on through streets or boulevards, forty (40) km. per hour; on city and municipal streets with light traffic, thirty (30) km. per hour; and through crowded streets, twenty (20) km. per hour. (c) The rates of speed herein prescribed shall not apply to emergency medical vehicles, fire department vehicles, or law enforcement officers pursuing traffic violators.","City Ordinance No. 0812-23, Series of 2023 (The Comprehensive Davao City Arterial Road Speed Limits and Traffic Safety Code)",Section 3,"SECTION 3. SPEED LIMIT HARMONIZATION. — Pursuant to the urban mobility and traffic management authority of the City Government of Davao under the Local Government Code, in accordance with Section 35 of Republic Act No. 4136, maximum vehicular speeds along national highways within city territorial limits shall not exceed eighty (80) kilometers per hour for passenger automobiles. The City Transport and Traffic Management Office (CTTMO) shall deploy traffic enforcers and install appropriate directional signages to ensure full operational compliance.","City Ordinance No. 0812-23, Series of 2023 (The Comprehensive Davao City Arterial Road Speed Limits and Traffic Safety Code)",,,
