Pair_ID,Macro_Domain,Difficulty_Tier,National_Statute_Title,Exact_Section_Citation,National_Statutory_Text,Local_Ordinance_Title,Local_Section_Citation,Local_Ordinance_Hypothesis_Text,Local_Legislative_Provenance,Annotator_Decision (Select: Entailment | Contradiction | Neutral),Annotator_Confidence (1-5),Annotator_Notes_Rationale
GT-281,Public Finance & General Appropriations,Tier 1: Surface & Quantitative,Republic Act No. 7160 (The Local Government Code of 1991),Section 287,Section 287. Local Development Projects. — Each local government unit shall appropriate in its annual budget no less than twenty percent (20%) of its annual internal revenue allotment for local development projects. Copies of each local development plan shall be furnished the Department of the Interior and Local Government (DILG).,"Proposed City Ordinance No. 2024-085, Series of 2024 (The Davao City Capital Investment Sinking Fund and Municipal Personnel Allocation Measure)",Section 5,"SECTION 5. ALLOCATION TO LOCAL DEVELOPMENT PROJECTS. — To guarantee transparent financial administration, ensure fiscal discipline, and support vital socio-economic development projects, the City Government of Davao shall appropriate seven percent (7%) of its annual internal revenue allotment shares to finance the City Comprehensive Development Investment Program. Disbursing officers and department heads failing to comply with these statutory allocation thresholds shall be subject to audit disallowance and administrative sanction.","Proposed City Ordinance No. 2024-085, Series of 2024 (The Davao City Capital Investment Sinking Fund and Municipal Personnel Allocation Measure)",,,
GT-282,Public Finance & General Appropriations,Tier 1: Surface & Quantitative,Republic Act No. 10121 (Philippine Disaster Risk Reduction and Management Act of 2010),Section 21,"Section 21. Local Disaster Risk Reduction and Management Fund (LDRRMF). — Not less than five percent (5%) of the estimated revenue from regular sources shall be set aside as the LDRRMF to support disaster risk management activities. Of the amount appropriated for LDRRMF, thirty percent (30%) shall be allocated as Quick Response Fund (QRF) or stand-by fund for relief and recovery programs in order that living conditions in communities stricken by disasters may be normalized as quickly as possible. Unexpended LDRRMF shall accrue to a special trust fund solely for the purpose of supporting disaster risk reduction activities within the next five (5) years.","Proposed City Ordinance No. 2024-102, Series of 2024 (The Davao City Special Disaster Surplus Reversion and Multi-Year Infrastructure Measure)",Section 4,"SECTION 4. LOCAL DISASTER RISK FUND APPORTIONMENT. — To guarantee transparent financial administration, ensure fiscal discipline, and support vital socio-economic development projects, the Sangguniang Panlungsod shall set aside two percent (2%) of estimated regular revenue sources to establish the Local Disaster Risk Reduction and Management Fund (LDRRMF). Disbursing officers and department heads failing to comply with these statutory allocation thresholds shall be subject to audit disallowance and administrative sanction.","Proposed City Ordinance No. 2024-102, Series of 2024 (The Davao City Special Disaster Surplus Reversion and Multi-Year Infrastructure Measure)",,,
GT-283,Public Finance & General Appropriations,Tier 1: Surface & Quantitative,Republic Act No. 7160 (The Local Government Code of 1991),Section 287,Section 287. Local Development Projects. — Each local government unit shall appropriate in its annual budget no less than twenty percent (20%) of its annual internal revenue allotment for local development projects. Copies of each local development plan shall be furnished the Department of the Interior and Local Government (DILG).,"Proposed City Ordinance No. 2024-085, Series of 2024 (The Davao City Capital Investment Sinking Fund and Municipal Personnel Allocation Measure)",Section 5,"SECTION 5. ALLOCATION TO LOCAL DEVELOPMENT PROJECTS. — To guarantee transparent financial administration, ensure fiscal discipline, and support vital socio-economic development projects, the City Government of Davao shall appropriate seven percent (7%) of its annual internal revenue allotment shares to finance the City Comprehensive Development Investment Program. Disbursing officers and department heads failing to comply with these statutory allocation thresholds shall be subject to audit disallowance and administrative sanction.","Proposed City Ordinance No. 2024-085, Series of 2024 (The Davao City Capital Investment Sinking Fund and Municipal Personnel Allocation Measure)",,,
GT-284,Public Finance & General Appropriations,Tier 1: Surface & Quantitative,Republic Act No. 10121 (Philippine Disaster Risk Reduction and Management Act of 2010),Section 21,"Section 21. Local Disaster Risk Reduction and Management Fund (LDRRMF). — Not less than five percent (5%) of the estimated revenue from regular sources shall be set aside as the LDRRMF to support disaster risk management activities. Of the amount appropriated for LDRRMF, thirty percent (30%) shall be allocated as Quick Response Fund (QRF) or stand-by fund for relief and recovery programs in order that living conditions in communities stricken by disasters may be normalized as quickly as possible. Unexpended LDRRMF shall accrue to a special trust fund solely for the purpose of supporting disaster risk reduction activities within the next five (5) years.","Proposed City Ordinance No. 2024-102, Series of 2024 (The Davao City Special Disaster Surplus Reversion and Multi-Year Infrastructure Measure)",Section 4,"SECTION 4. LOCAL DISASTER RISK FUND APPORTIONMENT. — To guarantee transparent financial administration, ensure fiscal discipline, and support vital socio-economic development projects, the Sangguniang Panlungsod shall set aside two percent (2%) of estimated regular revenue sources to establish the Local Disaster Risk Reduction and Management Fund (LDRRMF). Disbursing officers and department heads failing to comply with these statutory allocation thresholds shall be subject to audit disallowance and administrative sanction.","Proposed City Ordinance No. 2024-102, Series of 2024 (The Davao City Special Disaster Surplus Reversion and Multi-Year Infrastructure Measure)",,,
GT-285,Public Finance & General Appropriations,Tier 1: Surface & Quantitative,Republic Act No. 7160 (The Local Government Code of 1991),Section 287,Section 287. Local Development Projects. — Each local government unit shall appropriate in its annual budget no less than twenty percent (20%) of its annual internal revenue allotment for local development projects. Copies of each local development plan shall be furnished the Department of the Interior and Local Government (DILG).,"City Ordinance No. 0540-20, Series of 2020 (The Davao City 20% Local Development Fund Statutory Allocation and Expenditure Code)",Section 4,"SECTION 4. STATUTORY TWENTY PERCENT DEVELOPMENT ALLOCATION. — Pursuant to the local fiscal autonomy provisions of Republic Act No. 7160 and in accordance with national public expenditure standards, in strict compliance with Section 287 of Republic Act No. 7160, exactly twenty percent (20%) of the City's National Tax Allotment is hereby allocated to the 20% Local Development Fund for capital social and economic infrastructure. The City Budget Office and the City Treasurer's Office shall verify budgetary appropriations and submit compliance certifications to the Sangguniang Panlungsod.","City Ordinance No. 0540-20, Series of 2020 (The Davao City 20% Local Development Fund Statutory Allocation and Expenditure Code)",,,
GT-286,Public Finance & General Appropriations,Tier 1: Surface & Quantitative,Republic Act No. 10121 (Philippine Disaster Risk Reduction and Management Act of 2010),Section 21,"Section 21. Local Disaster Risk Reduction and Management Fund (LDRRMF). — Not less than five percent (5%) of the estimated revenue from regular sources shall be set aside as the LDRRMF to support disaster risk management activities. Of the amount appropriated for LDRRMF, thirty percent (30%) shall be allocated as Quick Response Fund (QRF) or stand-by fund for relief and recovery programs in order that living conditions in communities stricken by disasters may be normalized as quickly as possible. Unexpended LDRRMF shall accrue to a special trust fund solely for the purpose of supporting disaster risk reduction activities within the next five (5) years.","City Ordinance No. 0418-19, Series of 2019 (The Comprehensive Davao City Disaster Risk Reduction and Management Fund Allocation Code)",Section 3,"SECTION 3. FIVE PERCENT STATUTORY DISASTER FUND ALLOCATION. — In the exercise of the corporate and financial management powers of the City Government of Davao over public revenue allocations, in accordance with Section 21 of Republic Act No. 10121, five percent (5%) of estimated revenue from regular sources is appropriated to the Local Disaster Risk Reduction and Management Fund (LDRRMF), with thirty percent (30%) dedicated to the Quick Response Fund. The City Planning and Development Office (CPDO) shall align capital outlay disbursements with the approved Annual Investment Plan.","City Ordinance No. 0418-19, Series of 2019 (The Comprehensive Davao City Disaster Risk Reduction and Management Fund Allocation Code)",,,
GT-287,Public Finance & General Appropriations,Tier 1: Surface & Quantitative,Republic Act No. 7160 (The Local Government Code of 1991),Section 287,Section 287. Local Development Projects. — Each local government unit shall appropriate in its annual budget no less than twenty percent (20%) of its annual internal revenue allotment for local development projects. Copies of each local development plan shall be furnished the Department of the Interior and Local Government (DILG).,"City Ordinance No. 0540-20, Series of 2020 (The Davao City 20% Local Development Fund Statutory Allocation and Expenditure Code)",Section 4,"SECTION 4. STATUTORY TWENTY PERCENT DEVELOPMENT ALLOCATION. — Pursuant to the local fiscal autonomy provisions of Republic Act No. 7160 and in accordance with national public expenditure standards, in strict compliance with Section 287 of Republic Act No. 7160, exactly twenty percent (20%) of the City's National Tax Allotment is hereby allocated to the 20% Local Development Fund for capital social and economic infrastructure. The City Budget Office and the City Treasurer's Office shall verify budgetary appropriations and submit compliance certifications to the Sangguniang Panlungsod.","City Ordinance No. 0540-20, Series of 2020 (The Davao City 20% Local Development Fund Statutory Allocation and Expenditure Code)",,,
GT-288,Public Finance & General Appropriations,Tier 1: Surface & Quantitative,Republic Act No. 10121 (Philippine Disaster Risk Reduction and Management Act of 2010),Section 21,"Section 21. Local Disaster Risk Reduction and Management Fund (LDRRMF). — Not less than five percent (5%) of the estimated revenue from regular sources shall be set aside as the LDRRMF to support disaster risk management activities. Of the amount appropriated for LDRRMF, thirty percent (30%) shall be allocated as Quick Response Fund (QRF) or stand-by fund for relief and recovery programs in order that living conditions in communities stricken by disasters may be normalized as quickly as possible. Unexpended LDRRMF shall accrue to a special trust fund solely for the purpose of supporting disaster risk reduction activities within the next five (5) years.","City Ordinance No. 0418-19, Series of 2019 (The Comprehensive Davao City Disaster Risk Reduction and Management Fund Allocation Code)",Section 3,"SECTION 3. FIVE PERCENT STATUTORY DISASTER FUND ALLOCATION. — In the exercise of the corporate and financial management powers of the City Government of Davao over public revenue allocations, in accordance with Section 21 of Republic Act No. 10121, five percent (5%) of estimated revenue from regular sources is appropriated to the Local Disaster Risk Reduction and Management Fund (LDRRMF), with thirty percent (30%) dedicated to the Quick Response Fund. The City Planning and Development Office (CPDO) shall align capital outlay disbursements with the approved Annual Investment Plan.","City Ordinance No. 0418-19, Series of 2019 (The Comprehensive Davao City Disaster Risk Reduction and Management Fund Allocation Code)",,,
GT-289,Public Finance & General Appropriations,Tier 1: Surface & Quantitative,Republic Act No. 7160 (The Local Government Code of 1991),Section 287,Section 287. Local Development Projects. — Each local government unit shall appropriate in its annual budget no less than twenty percent (20%) of its annual internal revenue allotment for local development projects. Copies of each local development plan shall be furnished the Department of the Interior and Local Government (DILG).,"City Ordinance No. 0265-19, Series of 2019 (The Davao City Municipal Treasury Vault Security Keypad Access Specification Standard)",Section 3,"SECTION 3. BID DOCUMENT PRICING. — In the exercise of the corporate and financial management powers of the City Government of Davao over public revenue allocations, prospective bidders for municipal supply contracts shall pay a non-refundable reproduction fee of One Thousand Pesos (PHP 1,000.00) for standard bidding tender dossiers. The City Planning and Development Office (CPDO) shall align capital outlay disbursements with the approved Annual Investment Plan.","City Ordinance No. 0265-19, Series of 2019 (The Davao City Municipal Treasury Vault Security Keypad Access Specification Standard)",,,
GT-290,Public Finance & General Appropriations,Tier 1: Surface & Quantitative,Republic Act No. 10121 (Philippine Disaster Risk Reduction and Management Act of 2010),Section 21,"Section 21. Local Disaster Risk Reduction and Management Fund (LDRRMF). — Not less than five percent (5%) of the estimated revenue from regular sources shall be set aside as the LDRRMF to support disaster risk management activities. Of the amount appropriated for LDRRMF, thirty percent (30%) shall be allocated as Quick Response Fund (QRF) or stand-by fund for relief and recovery programs in order that living conditions in communities stricken by disasters may be normalized as quickly as possible. Unexpended LDRRMF shall accrue to a special trust fund solely for the purpose of supporting disaster risk reduction activities within the next five (5) years.","City Ordinance No. 0191-17, Series of 2017 (The Davao City Evacuation Center Standby Diesel Generator Fuel Tank Safety Standard)",Section 4,"SECTION 4. RELIEF WAREHOUSE PALLET STACKING. — Pursuant to the local fiscal autonomy provisions of Republic Act No. 7160 and in accordance with national public expenditure standards, sacks of National Food Authority relief rice stored in calamity response warehouses shall not be stacked higher than ten (10) tiers upon wooden pallets. The City Budget Office and the City Treasurer's Office shall verify budgetary appropriations and submit compliance certifications to the Sangguniang Panlungsod.","City Ordinance No. 0191-17, Series of 2017 (The Davao City Evacuation Center Standby Diesel Generator Fuel Tank Safety Standard)",,,
